x,y,u,v
0.71875,0.3888889,0.018235743,0.18429863
0.71875,0.5,0.044883072,0.19955671
0.71875,0.6111111,0.07887852,0.24966162
0.71875,0.7222222,0.12374771,0.3513323
0.71875,0.8333333,0.18570054,0.5340187
0.71875,0.9444444,0.27678812,0.8548703
0.78125,0.055555582,-0.04721296,0.26116607
0.78125,0.16666669,-0.027709126,0.2207498
0.78125,0.2777778,-0.0043525696,0.1942988
0.78125,0.3888889,0.02412355,0.18640459
0.78125,0.5,0.05960965,0.20391947
0.78125,0.6111111,0.1050576,0.2575428
0.78125,0.7222222,0.16534722,0.3649621
0.78125,0.8333333,0.2491672,0.55767125
0.78125,0.9444444,0.37363267,0.8977083
0.84375,0.055555582,-0.057727218,0.26002228
0.84375,0.16666669,-0.033267975,0.22032768
0.84375,0.2777778,-0.0039149523,0.19492212
0.84375,0.3888889,0.031963944,0.18857074
0.84375,0.5,0.076816976,0.20842236
0.84375,0.6111111,0.13449252,0.2657134
0.84375,0.7222222,0.21140611,0.3791759
0.84375,0.8333333,0.3191098,0.5825401
0.84375,0.9444444,0.48071933,0.9432994
0.90625,0.055555582,-0.06711638,0.25885373
0.90625,0.16666669,-0.03748107,0.2198956
0.90625,0.2777778,-0.0018390417,0.19556168
0.90625,0.3888889,0.041841686,0.1907996
0.90625,0.5,0.09662628,0.21307224
0.90625,0.6111111,0.16736579,0.27418953
0.90625,0.7222222,0.26221693,0.39401197
0.90625,0.8333333,0.39604092,0.60872096
0.90625,0.9444444,0.5990685,0.9919187
0.96875,0.055555582,-0.07534349,0.2576596
0.96875,0.16666669,-0.040299952,0.21945313
0.96875,0.2777778,0.0019399524,0.19621807
0.96875,0.3888889,0.053846717,0.19309396
0.96875,0.5,0.11916757,0.2178765
0.96875,0.6111111,0.20387387,0.28298867
0.96875,0.7222222,0.31809902,0.40951192
0.96875,0.8333333,0.4805293,0.636321
0.96875,0.9444444,0.7298405,1.0438771
